candidate,baseline,metric,relative_gain,95_lower,95_upper,family_lower
block,whole,delivery,0.29226461323066166,0.2489702129558634,0.3373959233634893,0.23529382489558492
block,whole,efficiency,0.278473521261265,0.23632459630241706,0.3226416625626718,0.22319063868892897
block,selective,delivery,0.3553597650513951,0.32680327738358456,0.38364355998573085,0.31811655850030457
block,selective,efficiency,0.415374082212677,0.3859978608538809,0.4444003749195427,0.3768717266002335
prefix,whole,delivery,0.29156457822891135,0.2481491439269901,0.33692924936941354,0.23451176923866054
prefix,whole,efficiency,0.22402544216786668,0.18311972207734611,0.2668790761370775,0.17007432412753548
prefix,selective,delivery,0.35462555066079293,0.3266777134842467,0.38228700592301257,0.31775857615907277
prefix,selective,efficiency,0.3550956339746294,0.3270367664436357,0.38294920616762734,0.31793329100836804
prefix,block,delivery,-0.0005417118093175022,-0.00268492415089272,0.0013678019422787013,-0.0033176734566830535
prefix,block,efficiency,-0.04258835102011582,-0.04519925838403084,-0.04005857511186068,-0.04597090970359989
