study,seed,policy,delivered,generated,energy_uj,delivery_pp,packets_per_j
guard,9700224,block,104,672,2668744,15.476190476190476,38.96964264837692
guard,9700224,guard,104,672,2794784,15.476190476190476,37.21217811465931
guard,9700224,prefix,104,672,2794784,15.476190476190476,37.21217811465931
guard,9700224,selective,80,672,2785816,11.904761904761905,28.716900182926654
guard,9700224,whole,80,672,2622376,11.904761904761905,30.50668554013612
guard,9700225,block,128,1248,2630816,10.256410256410257,48.654105798353065
guard,9700225,guard,128,1248,2790848,10.256410256410257,45.86419611530259
guard,9700225,prefix,128,1248,2790848,10.256410256410257,45.86419611530259
guard,9700225,selective,88,1248,2792960,7.051282051282051,31.507791017415215
guard,9700225,whole,104,1248,2643936,8.333333333333334,39.335294046451956
guard,9700226,block,120,1440,2688616,8.333333333333334,44.63262883208313
guard,9700226,guard,120,1440,2781928,8.333333333333334,43.13555203441642
guard,9700226,prefix,120,1440,2781928,8.333333333333334,43.13555203441642
guard,9700226,selective,96,1440,2790000,6.666666666666667,34.40860215053763
guard,9700226,whole,80,1440,2643936,5.555555555555555,30.257918497270737
guard,9700227,block,102,1056,2681380,9.659090909090908,38.04011367281027
guard,9700227,guard,102,1056,2787588,9.659090909090908,36.59077309846362
guard,9700227,prefix,102,1056,2787820,9.659090909090908,36.587728045569655
guard,9700227,selective,84,1056,2793712,7.954545454545454,30.067523066085556
guard,9700227,whole,88,1056,2643936,8.333333333333334,33.28371034699781
guard,9700228,block,128,768,2661552,16.666666666666668,48.09224091808088
guard,9700228,guard,128,768,2788848,16.666666666666668,45.897087256100015
guard,9700228,prefix,128,768,2787696,16.666666666666668,45.91605397432145
guard,9700228,selective,96,768,2789680,12.5,34.412549109575295
guard,9700228,whole,112,768,2643936,14.583333333333334,42.36108589617903
guard,9700229,block,104,672,2687968,15.476190476190476,38.69093679686664
guard,9700229,guard,104,672,2783020,15.476190476190476,37.36947632428082
guard,9700229,prefix,104,672,2783152,15.476190476190476,37.36770395580263
