policy,label,joint_qos_passes,trials,mean_delivery_ratio,ci_low_delivery_ratio,ci_high_delivery_ratio,mean_stale_ratio,ci_low_stale_ratio,ci_high_stale_ratio,mean_episode_service_fairness,ci_low_episode_service_fairness,ci_high_episode_service_fairness,mean_fnd_free_steps,ci_low_fnd_free_steps,ci_high_fnd_free_steps,mean_global_packets_per_j,ci_low_global_packets_per_j,ci_high_global_packets_per_j
learned_listwise_residual,HTA-MAC residual,99,100,0.27948136261237627,0.27575683546990315,0.28320162123301396,0.05610240057401976,0.05289686449459627,0.05915180906607446,0.8583709820152405,0.8450807739790309,0.8724256733564801,125.10000000000002,121.71999999999998,128.10999999999999,224.89279235953305,223.89572481103883,225.8983849209602
analytic_teacher,Analytic teacher,99,100,0.2795206590265652,0.2756908382753567,0.2832216553344961,0.05610941754552386,0.052885785672689034,0.0591537255670031,0.8584294077522931,0.8448383511156354,0.8727185860510024,125.09999999999998,121.71,128.10000000000002,224.92128731891034,223.94501934882553,225.92429700654245
energy_proportional_tuned,Energy-proportional,97,100,0.28524573273017884,0.279378508851307,0.291299481805981,0.06078791897304593,0.05792758687590889,0.06354681810749765,0.8079219699658229,0.7926849251234188,0.8223794621744631,132.43,128.92,135.58,225.55819237304496,224.56975147846958,226.56994617516304
s2a2mac_adapted,S2A2MAC-adapted,0,100,0.13631904747574067,0.13441066215460312,0.1382987646200728,0.15508005364200453,0.15299279765178034,0.1570316239830043,0.669099859964603,0.6564101546391398,0.6811704822807103,140.53000000000003,136.64000000000001,143.83,231.8783602685516,230.83469522563718,232.94117921228943
ffss_adapted,FFSS-adapted,1,100,0.2086638169937242,0.20528539937848528,0.21243706684278374,0.04559516171960461,0.0425275460867955,0.04831955175359275,0.9595565583544291,0.9550773542924335,0.963957595151892,133.98999999999995,130.12,137.49,220.4545401081012,219.52911813928836,221.3554717673724
